站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20230831215528,27.4,1008.1,45,344,5.9,1.0,10195.5
58102,20230831215528,28.3,1005.6,26,40,2.9,0.8,10435.8
58118,20230831215528,15.2,1023.3,29,10,11.7,0.6,10126.2
58122,20230831215528,5.0,1020.1,10,249,0.7,0.0,10039.9
58203,20230831215528,23.6,1000.5,82,195,2.1,0.9,10490.9
58215,20230831215528,10.8,1006.9,86,310,3.1,0.6,10438.1
58221,20230831215528,0.0,1020.3,37,98,7.8,1.2,10493.9
58225,20230831215528,32.0,1018.6,3,314,7.9,0.7,10367.4
58236,20230831215528,9.1,1018.4,32,66,6.1,0.8,10417.8
58311,20230831215528,9.5,1004.2,39,177,11.3,1.1,10324.2
58314,20230831215528,22.5,1022.6,23,286,4.4,0.2,10338.9
58319,20230831215528,12.1,1018.1,90,333,9.5,0.0,10299.0
58321,20230831215528,3.9,1007.0,23,283,7.1,0.5,10007.2
58326,20230831215528,9.7,1020.0,57,139,11.4,0.6,10111.5
58336,20230831215528,12.9,1000.7,48,184,10.3,1.0,10072.0
58338,20230831215528,24.2,1014.7,72,165,1.1,1.3,10205.9
58414,20230831215528,8.5,1012.0,10,32,1.2,1.1,10254.2
58419,20230831215528,17.7,1016.9,79,200,6.1,0.6,10142.2
58424,20230831215528,28.3,1009.0,80,124,4.9,0.3,10090.0
58429,20230831215528,31.6,1020.1,16,45,13.3,0.2,10378.7
58436,20230831215528,8.2,1024.4,33,32,0.6,0.5,10383.6
58437,20230831215528,16.6,1002.9,34,125,6.3,1.5,10498.7
58520,20230831215528,6.1,1013.4,18,351,8.1,0.8,10350.1
58531,20230831215528,9.7,1006.0,89,215,12.6,0.3,10412.5
54406,20230831215528,14.3,1022.4,75,358,9.3,1.0,10477.7
54416,20230831215528,28.1,1005.9,49,51,7.6,0.5,10416.4
54511,20230831215528,0.7,1023.1,54,346,4.7,1.4,10324.7
58725,20230831215528,2.0,1018.4,26,160,14.4,0.6,10311.5
58730,20230831215528,0.4,1010.6,89,253,1.7,0.3,10496.1
58731,20230831215528,1.9,1021.3,55,255,12.5,1.0,10217.9
58734,20230831215528,15.3,1021.5,67,302,3.3,0.7,10008.4
58737,20230831215528,17.3,1006.9,27,110,6.3,0.7,10325.9
58744,20230831215528,23.5,1007.4,68,50,9.3,0.3,10293.7
58754,20230831215528,5.6,1003.9,8,3,10.0,0.5,10453.1
58818,20230831215528,26.4,1021.4,29,118,10.1,1.4,10133.3
58820,20230831215528,1.5,1023.1,82,87,6.2,1.5,10130.5
58834,20230831215528,20.9,1017.7,50,264,8.4,1.2,10276.7
58837,20230831215528,21.9,1003.7,83,129,5.2,0.5,10097.4
58843,20230831215528,5.9,1026.1,56,339,11.7,1.2,10160.7
58846,20230831215528,7.2,1025.3,82,285,14.6,0.2,10025.9
58847,20230831215528,19.0,1003.8,52,325,8.8,0.8,10196.8
58911,20230831215528,5.2,1023.5,90,199,9.7,1.1,10358.1
58918,20230831215528,29.1,1008.3,6,195,6.6,0.5,10047.4
58921,20230831215528,9.1,1010.0,96,145,7.5,1.3,10398.1
58926,20230831215528,1.6,1024.3,89,24,1.7,1.5,10269.9
58927,20230831215528,23.8,1011.3,45,29,11.3,1.3,10464.8
58931,20230831215528,26.2,1009.8,21,104,12.3,1.0,10303.5
58933,20230831215528,26.7,1026.2,7,356,3.4,0.1,10440.2
58936,20230831215528,14.2,1016.0,98,255,2.4,0.9,10323.2
